	Бренд	Модель	Ширина линзы (мм)	Мост (мм)	Длина заушника (мм)	Ширина оправы (мм)
352	Max&amp;co	MAX&amp;CO 297/S, EEI	51	20	145	135
353	Sensolatino	BL-Silver	55	16	140	140
354	Givenchy	VGV 948 ART	50	19	135	130
355	Andy Wolf	Оправа Andy Wolf 5018 col. d	54	15	140	135
356	Jaguar	JA 33112-6500	50	18	145	135
357	Vogue	VO 4067 - 5060	53	18	140	138
358	Vogue	VO 5413-2864	54	14	140	145
359	Vogue	VO 3940-352-S	52	16	140	133
360	Vogue	VO 3987B-352	54	16	135	134
361	Vogue	VO 4011 - 997	51	18	140	131
362	Vogue	VO 5439-3000	52	16	135	130
363	Vogue	VO 4050 - 352	53	17	140	137
364	Silhouette	Солнцезащитные очки Silhouette 8149-6240	54	18	125	135
365	Barbie Kids	BE-139-660	47	15	120	120
366	Barbie Kids	BBCL002, PNK	46	18	130	124
367	Jessie Kids	JSWE-1404 c.1	45	18	125	125
368	Jessie Kids	T 573708 c.TC20	37	16	125	120
369	Jessie Kids	T 104408 c.11	44	16	125	125
370	Matsuda	Компьютерные очки Ralph, RP 8136 c.2	48	19	140	135
371	Weiya	бифокальные 1.5				
372	Top Vision	1.5 Transitions GEN8 Bifocal FT28 HMC				
373	Top Vision	SP 1.5 Transitions GEN8 HMC, Standart				
374	Top Vision	ASP 1.5 Transitions GEN8 HMC				
375	Top Vision	ASP 1.6 Transitions GEN8 HMC				
376	Top Vision	SP 1.5 Transitions GEN8 HMC				
377	Top Vision	SP 1.6 Transitions GEN8 HMC				
378	Top Vision	SP 1.67 Transitions GEN8 HMC				
379	Top Vision	ASP 1.67 Transitions GEN8 Brown HMC				
